이름,학번,단과대,학과,전화번호
김아주,201421234,정보통신대학,소프트웨어학과,010-2034-2112
김민우,201420031,자연과학대학,수학과,010-2892-2822
정진수,201420032,정보통신대학,미디어학과,010-2892-2921
박상현,201620030,정보통신대학,미디어학과,010-5798-5853
최준석,201520029,정보통신대학,미디어학과,010-1234-1234
정문선,201720028,정보통신대학,미디어학과,010-8592-0193
우주호,201920027,정보통신대학,미디어학과,010-9823-4901
한길태,201820125,사회과학대학,경제학과,010-9483-2743
신동수,201920332,약학대학,약학대학,010-9357-2573
김현석,201920887,정보통신대학,미디어학과,010-2058-2348
김신혜,201520493,정보통신대학,미디어학과,010-2583-9238
최혜연,201720432,정보통신대학,미디어학과,010-2584-3952
정의동,201520344,정보통신대학,전자공학과,010-9753-1246
박서진,201820442,정보통신대학,미디어학과,010-1357-9887
홍푸름,201920334,정보통신대학,미디어학과,010-4345-3111
이예서,201920552,정보통신대학,미디어학과,010-5463-2413
김진홍,201820412,정보통신대학,미디어학과,010-6745-4824
박한나,201920888,정보통신대학,미디어학과,010-2542-5443
김수지,202020854,정보통신대학,미디어학과,010-1451-0158
최지영,201921784,정보통신대학,미디어학과,010-4514-4878
이준수,201920995,정보통신대학,미디어학과,010-7845-1145
김성준,201820886,정보통신대학,미디어학과,010-7784-1254
강현구,201720988,공과대학,기계공학과,010-2750-4064
